t,frame_idx,ear,ear_threshold,blink_rate,smile_mm,smile_amplitude_mm,brow_mm,brow_amplitude_mm,asymmetry,asymmetry_std,gaze_dx,gaze_dy,gaze_x_std,gaze_y_std,face_distance_mm,tremor_chin_power_4_6hz,tremor_chin_dominant_hz,tremor_chin_motion_power,tremor_chin_lock_in,tremor_chin_pd_likelihood,tremor_lip_power_4_6hz,tremor_lip_dominant_hz,tremor_lip_motion_power,tremor_lip_lock_in,tremor_lip_pd_likelihood,head_yaw_deg,off_axis
0.986,22,0.4354,0.22,,,20.19,22.23,8.1,0.0172,0.0295,-0.0018,-0.019,0.0019,0.0011,847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0
1.026,23,0.4421,0.22,,,20.19,22.64,8.1,0.0209,0.0299,-0.0026,-0.0223,0.002,0.0012,849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0
1.065,24,0.4403,0.22,,,20.19,19.93,8.1,0.0059,0.0316,-0.0006,-0.0209,0.0019,0.0011,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0
1.104,25,0.4449,0.22,,,20.19,18.68,8.1,0.0471,0.0301,-0.0039,-0.0193,0.002,0.0012,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0
1.144,26,0.4484,0.22,,,20.19,21.32,8.1,0.0151,0.0301,-0.0008,-0.0193,0.0019,0.0012,852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0
1.18,27,0.444,0.22,,,20.19,22.33,8.1,0.0247,0.0294,-0.0013,-0.0181,0.0019,0.0014,847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0
1.222,28,0.4525,0.22,,,20.19,22.79,8.1,0.0245,0.0288,0.0014,-0.02,0.0019,0.0013,861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0
1.261,29,0.4578,0.22,,84.82,30.55,20.08,8.1,0.0374,0.0278,-0.0014,-0.017,0.0018,0.0015,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0
1.299,30,0.4606,0.22,,79.17,30.55,20.04,8.1,0.0333,0.027,-0.0006,-0.017,0.0018,0.0017,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0
1.336,31,0.4597,0.22,,82.99,30.55,19.64,8.1,0.0456,0.0262,-0.0022,-0.0179,0.0018,0.0017,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0
1.375,32,0.439,0.22,,67.17,30.55,19.85,8.1,0.0867,0.0262,-0.0067,-0.0139,0.0018,0.0017,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,1
1.415,33,0.4533,0.22,,67.1,30.55,18.99,8.1,0.0896,0.0262,-0.0054,-0.0178,0.0018,0.0017,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,1
1.492,34,0.4496,0.22,,64.43,30.55,21.47,8.1,0.0803,0.0262,-0.0057,-0.016,0.0018,0.0017,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,1
1.575,35,0.4661,0.22,,76.32,30.55,19.91,8.1,0.0475,0.0255,-0.002,-0.0174,0.0017,0.0018,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0
1.61,36,0.4502,0.4492,,81.74,30.55,22.33,8.1,0.0299,0.025,-0.0012,-0.0168,0.0017,0.0018,861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0
1.648,37,0.4528,0.4492,,92.4,38.12,23.3,8.1,0.0127,0.0251,0.0013,-0.0176,0.0017,0.0019,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0
1.687,38,0.4445,0.4492,,,38.12,24.02,8.1,0.0123,0.0252,0.0017,-0.0179,0.0018,0.0018,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0
1.728,39,0.4522,0.4492,,,38.12,23.06,8.1,0.0345,0.0246,0.0041,-0.0152,0.002,0.002,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.8,0
1.765,40,0.436,0.4492,,,38.12,23.86,8.1,0.0203,0.0244,0.0025,-0.0164,0.002,0.0021,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,0
1.804,41,0.4659,0.4492,,,38.12,23.52,8.1,0.0238,0.024,0.0027,-0.015,0.0021,0.0022,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0
1.844,42,0.4817,0.4601,,,38.12,25.25,8.1,0.0406,0.0235,0.0044,-0.0165,0.0022,0.0022,878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.2,0
1.895,43,0.4674,0.4601,,,38.12,23.78,8.1,0.026,0.0232,0.0028,-0.0163,0.0023,0.0022,878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.4,0
1.973,44,0.4874,0.464,,,38.12,23.64,8.1,0.0229,0.0229,0.0027,-0.0186,0.0023,0.0022,874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0
2.038,45,0.4906,0.4663,,,38.12,22.7,8.1,0.0199,0.0227,0.0027,-0.0182,0.0023,0.0021,882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1,0
2.077,46,0.4882,0.4663,,,38.12,22.42,8.1,0.0248,0.0223,0.0034,-0.0196,0.0023,0.0021,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0
2.116,47,0.5142,0.4829,,,38.12,22.23,8.1,0.0256,0.022,0.003,-0.02,0.0023,0.0021,886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.4,0
2.155,48,0.5133,0.4829,,,38.12,22.53,8.1,0.0357,0.0217,0.0039,-0.0203,0.0024,0.002,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.2,0
2.235,49,0.5053,0.4829,,,38.12,22.9,8.1,0.0487,0.0215,0.0056,-0.0212,0.0025,0.0021,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.6,0
2.272,50,0.5175,0.4851,,,38.12,23.64,8.1,0.0337,0.0211,0.0039,-0.0218,0.0025,0.0021,874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0
2.314,51,0.5326,0.4957,,,38.12,22.16,8.1,0.0253,0.0209,0.003,-0.022,0.0025,0.0021,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.8,0
2.35,52,0.5053,0.4957,,,38.12,22.91,8.1,0.0248,0.0207,0.0033,-0.0235,0.0025,0.0022,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0
2.389,53,0.5069,0.4957,,,38.12,23.31,8.1,0.0209,0.0205,0.0031,-0.0222,0.0025,0.0022,859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.9,0
2.428,54,0.5083,0.4957,,,38.12,22.02,8.1,0.0114,0.0206,0.0004,-0.0212,0.0024,0.0022,868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0
2.468,55,0.5266,0.4957,,,38.12,22.48,8.1,0.008,0.0207,0.0012,-0.0205,0.0024,0.0022,867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
2.548,56,0.5257,0.4957,,,38.12,22.44,8.1,0.0139,0.0206,0.0001,-0.02,0.0024,0.0022,864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0
2.588,57,0.5363,0.4983,,,38.12,21.9,8.1,0.0171,0.0205,-0.0001,-0.0212,0.0024,0.0022,867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0
2.624,58,0.5328,0.4983,,,38.12,22.34,8.1,0.0104,0.0205,0.0024,-0.0214,0.0023,0.0022,859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7,0
2.662,59,0.5288,0.4983,,,38.12,21.9,8.1,0.0197,0.0204,0.0003,-0.0194,0.0023,0.0021,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0
2.743,60,0.5324,0.4983,,,38.12,20.13,8.1,0.0423,0.0202,-0.0011,-0.0234,0.0023,0.0022,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0
2.822,61,0.5246,0.4983,,,38.12,21.58,8.1,0.047,0.0201,-0.0016,-0.0216,0.0023,0.0022,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0
2.861,62,0.5332,0.4983,,,38.12,20.33,8.1,0.0567,0.0202,-0.0027,-0.0225,0.0023,0.0022,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0
2.895,63,0.5209,0.4983,,,38.12,19.01,8.1,0.065,0.0206,-0.0033,-0.0216,0.0024,0.0022,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0
2.978,64,0.524,0.4983,,,38.12,18.15,8.1,0.074,0.0212,-0.0038,-0.0241,0.0025,0.0023,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0
3.052,65,0.5318,0.4983,,,38.12,16.94,9.16,0.0802,0.022,-0.0035,-0.0225,0.0025,0.0023,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0
3.092,66,0.5217,0.4983,,94.28,40.01,18.19,9.16,0.1128,0.022,-0.0072,-0.022,0.0025,0.0023,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2,1
3.131,67,0.5222,0.4983,,92.64,40.01,16.6,9.5,0.1028,0.022,-0.0067,-0.0218,0.0025,0.0023,835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,1
3.247,68,0.4953,0.4983,,89.65,40.01,13.91,12.19,0.0987,0.022,-0.0063,-0.0208,0.0025,0.0023,834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2,1
3.287,69,0.5143,0.4983,,99.23,44.95,13.03,13.07,0.1074,0.022,-0.0065,-0.0189,0.0025,0.0023,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,1
3.447,70,0.53,0.4983,,72.78,44.95,11.19,14.91,0.143,0.022,-0.0098,-0.02,0.0025,0.0023,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8,1
3.524,71,0.5244,0.4983,,73.52,44.95,11.82,14.91,0.164,0.022,-0.0105,-0.0187,0.0025,0.0023,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.2,1
3.576,72,0.5364,0.4983,,75.46,44.95,13.38,14.91,0.1477,0.022,-0.0099,-0.0196,0.0025,0.0023,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1,1
3.614,73,0.5317,0.4983,,75.26,44.95,15.76,14.91,0.1381,0.022,-0.0084,-0.0197,0.0025,0.0023,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,1
3.637,74,0.5416,0.502,,68.31,44.95,11.89,14.91,0.1457,0.022,-0.0077,-0.0209,0.0025,0.0023,834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,1
3.717,75,0.5236,0.502,,68.09,44.95,12.69,14.91,0.1307,0.022,-0.0064,-0.021,0.0025,0.0023,834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,1
3.756,76,0.5379,0.502,,79.07,44.95,18.15,14.91,0.1144,0.022,-0.006,-0.0201,0.0025,0.0023,837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,1
3.844,77,0.5256,0.502,,87.52,44.95,17.75,14.91,0.0642,0.0221,-0.0032,-0.0202,0.0025,0.0022,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0
3.886,78,0.5334,0.502,,,44.95,19.11,14.91,0.0458,0.022,-0.0013,-0.0203,0.0025,0.0022,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0
3.996,79,0.5421,0.5023,,,44.95,21.66,14.91,0.0165,0.0219,0.0014,-0.0218,0.0025,0.0022,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0
4.069,80,0.5447,0.5042,,,44.95,21.42,14.91,0.0139,0.0219,0.0019,-0.0213,0.0025,0.0022,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,0
4.147,81,0.5447,0.5042,,,44.95,22.84,14.91,0.0187,0.0218,0.0033,-0.0213,0.0025,0.0022,877.0,3.9e-05,2.0,0.001177,0.0,0.0,4e-05,2.0,0.00067,0.0,0.0,-6.7,0
4.185,82,0.5666,0.5195,,,44.95,22.6,14.91,0.0207,0.0217,0.0036,-0.0225,0.0025,0.0022,875.0,3.4e-05,2.37,0.001192,0.0,0.0,2.5e-05,3.95,0.000677,0.5,0.0,-9.0,0
4.263,83,0.5234,0.5195,,,44.95,26.4,15.21,0.0357,0.0215,0.0035,-0.0198,0.0025,0.0022,878.0,3.5e-05,2.34,0.001206,0.0,0.0,2.8e-05,4.29,0.000683,0.667,1.6,-11.5,0
4.301,84,0.5304,0.5195,,,44.95,26.38,15.21,0.0089,0.0216,0.0013,-0.0212,0.0025,0.0022,878.0,3.5e-05,2.31,0.001221,0.0,0.0,3e-05,4.23,0.00069,0.75,5.2,-1.9,0
4.341,85,0.5289,0.5195,,,44.95,24.28,15.21,0.0404,0.0214,0.0043,-0.0203,0.0025,0.0021,882.0,3.4e-05,2.28,0.001235,0.0,0.0,3.2e-05,4.18,0.000695,0.8,7.4,-13.8,0
4.378,86,0.5228,0.5195,,,44.95,21.97,15.21,0.0538,0.0214,0.0062,-0.0205,0.0026,0.0021,888.0,3.8e-05,2.25,0.00125,0.0,0.0,3.7e-05,4.12,0.000701,0.833,9.1,-19.7,0
4.497,87,0.4412,0.5195,,,44.95,23.26,15.21,0.0587,0.0214,0.0061,-0.0184,0.0027,0.0021,882.0,3.9e-05,2.22,0.001264,0.0,0.0,3.8e-05,4.07,0.000706,0.857,9.9,-18.9,0
4.534,88,0.4561,0.5195,,,44.95,24.08,15.21,0.0642,0.0216,0.0067,-0.016,0.0027,0.0022,883.0,3.8e-05,2.2,0.001279,0.0,0.0,4e-05,4.02,0.00071,0.875,10.7,-21.2,0
4.573,89,0.4653,0.5195,,,44.95,23.54,15.21,0.0543,0.0215,0.0062,-0.0179,0.0028,0.0022,883.0,3.2e-05,2.17,0.001295,0.0,0.0,2.2e-05,3.98,0.000715,0.889,8.7,-18.3,0
4.614,90,0.487,0.5195,,,44.95,23.09,15.21,0.0287,0.0214,0.0036,-0.0182,0.0028,0.0022,875.0,3.2e-05,2.14,0.001312,0.0,0.0,2.4e-05,3.93,0.00072,0.9,9.4,-10.4,0
4.697,91,0.4823,0.5195,,,44.95,22.83,15.21,0.0153,0.0213,0.0015,-0.0191,0.0028,0.0021,875.0,3.7e-05,2.12,0.001329,0.0,0.0,2.9e-05,4.24,0.000724,0.909,10.3,-4.6,0
4.772,92,0.5017,0.5195,,,44.95,22.33,15.21,0.0135,0.0213,0.0,-0.0169,0.0028,0.0022,858.0,3.8e-05,2.09,0.001348,0.0,0.0,3.3e-05,4.19,0.000728,0.917,10.9,3.7,0
4.81,93,0.4851,0.5195,,,44.95,22.43,15.21,0.0433,0.0212,-0.0022,-0.0162,0.0028,0.0022,858.0,3.8e-05,2.07,0.001367,0.0,0.0,3.6e-05,4.14,0.000732,0.923,11.4,12.4,0
4.85,94,0.4963,0.5195,,,44.95,22.45,15.21,0.0464,0.0211,-0.0026,-0.0211,0.0028,0.0022,855.0,3.8e-05,2.05,0.001388,0.0,0.0,3.8e-05,4.09,0.000736,0.929,11.8,13.8,0
4.933,95,0.4833,0.5195,,76.5,44.95,20.89,15.21,0.0708,0.0214,-0.0045,-0.0219,0.0028,0.0022,846.0,3.8e-05,2.02,0.00141,0.0,0.0,4e-05,4.04,0.00074,0.933,12.0,21.0,0
5.007,96,0.4925,0.5195,0.0,93.56,44.95,20.34,15.21,0.0704,0.0216,-0.0048,-0.0218,0.0029,0.0022,849.0,4.3e-05,2.0,0.001433,0.0,0.0,4.3e-05,2.0,0.000744,0.875,9.9,20.7,0
5.049,97,0.4998,0.5195,0.0,90.01,44.95,20.98,15.21,0.0678,0.0218,-0.0035,-0.0234,0.0029,0.0022,850.0,3.7e-05,2.31,0.001456,0.0,0.0,2.5e-05,3.96,0.000748,0.882,10.1,18.5,0
5.086,98,0.514,0.5195,0.0,68.72,44.95,21.6,15.21,0.0609,0.0218,-0.0031,-0.0238,0.0029,0.0022,850.0,3.8e-05,2.28,0.001481,0.0,0.0,2.9e-05,3.91,0.000752,0.889,10.8,17.0,0
5.167,99,0.4967,0.5195,0.0,94.06,44.95,19.71,15.21,0.0674,0.022,-0.0041,-0.0218,0.003,0.0022,847.0,3.9e-05,2.26,0.001507,0.0,0.0,3.2e-05,4.19,0.000756,0.895,11.4,19.4,0
5.203,100,0.5272,0.5195,0.0,91.57,44.95,21.63,15.21,0.0469,0.0218,-0.0025,-0.0281,0.003,0.0024,853.0,3.9e-05,2.23,0.001534,0.0,0.0,3.6e-05,4.15,0.000761,0.9,12.0,12.0,0
5.24,101,0.5391,0.5195,0.0,,44.95,21.42,15.21,0.0362,0.0217,-0.0017,-0.0264,0.003,0.0025,863.0,3.9e-05,2.21,0.001563,0.0,0.0,3.9e-05,4.11,0.000766,0.905,12.5,8.3,0
5.342,102,0.5403,0.5195,0.0,,44.95,21.06,15.21,0.0323,0.0215,-0.0015,-0.0274,0.003,0.0026,858.0,4.6e-05,2.19,0.001593,0.0,0.0,4.4e-05,4.06,0.000772,0.909,13.1,7.8,0
5.386,103,0.5025,0.5195,11.14,,44.95,21.51,15.21,0.0412,0.0214,-0.0028,-0.0239,0.003,0.0026,856.0,4.6e-05,2.16,0.001624,0.0,0.0,4.6e-05,4.02,0.000779,0.913,13.4,12.8,0
5.89,104,0.5368,0.5195,10.19,,44.95,21.36,15.21,0.0374,0.0213,-0.0025,-0.0254,0.003,0.0027,855.0,3.8e-05,2.14,0.001657,0.0,0.0,2.4e-05,3.98,0.000787,0.917,10.3,10.6,0
5.976,105,0.4959,0.5195,10.04,,44.95,23.42,15.21,0.0091,0.0214,0.0012,-0.0257,0.0029,0.0027,872.0,3.9e-05,2.12,0.001692,0.0,0.0,2.8e-05,3.94,0.000796,0.92,10.8,-1.9,0
6.003,106,0.5103,0.5195,10.0,,44.95,23.96,15.21,0.0157,0.0214,0.0003,-0.0238,0.0029,0.0027,867.0,4.6e-05,2.1,0.001728,0.0,0.0,3.4e-05,2.1,0.000806,0.885,10.0,2.7,0
6.032,107,0.5022,0.5195,9.95,,44.95,25.51,15.21,0.0127,0.0214,0.0009,-0.024,0.0029,0.0027,870.0,4.7e-05,2.08,0.001765,0.0,0.0,3.9e-05,2.08,0.000817,0.852,9.0,0.5,0
6.111,108,0.5306,0.5195,9.82,,44.95,23.52,15.21,0.0208,0.0213,0.0003,-0.0233,0.0029,0.0027,869.0,4.8e-05,2.06,0.001804,0.0,0.0,4.3e-05,2.06,0.000829,0.821,8.1,2.3,0
6.176,109,0.4928,0.5195,9.72,,44.95,23.18,15.21,0.0201,0.0213,0.0004,-0.0196,0.0029,0.0027,869.0,4.9e-05,2.04,0.001845,0.0,0.0,4.6e-05,2.04,0.000843,0.793,7.1,1.9,0
6.589,110,0.5055,0.5195,9.11,,44.95,20.58,15.21,0.0504,0.0212,-0.0017,-0.0201,0.0029,0.0027,869.0,4.9e-05,2.02,0.001886,0.0,0.0,4.9e-05,2.02,0.000858,0.767,6.2,13.4,0
6.67,111,0.501,0.5195,9.0,,44.95,21.92,15.21,0.0447,0.0211,-0.0013,-0.0198,0.0029,0.0027,869.0,5.5e-05,2.0,0.001929,0.0,0.0,5.3e-05,2.0,0.000874,0.742,5.3,12.3,0
6.886,112,0.4912,0.5195,8.71,,44.95,22.13,15.21,0.0256,0.021,-0.0001,-0.0187,0.0028,0.0027,867.0,4.7e-05,2.26,0.001973,0.0,0.0,3.1e-05,2.26,0.000891,0.719,2.1,6.5,0
6.927,113,0.5042,0.5195,8.66,,44.95,21.28,15.21,0.048,0.0209,-0.0026,-0.0186,0.0028,0.0027,863.0,4.8e-05,2.24,0.002018,0.0,0.0,3.6e-05,2.24,0.00091,0.697,1.5,13.9,0
6.964,114,0.5096,0.5195,8.62,,44.95,22.75,15.21,0.0363,0.0208,-0.0019,-0.0194,0.0028,0.0027,867.0,4.9e-05,2.22,0.002065,0.0,0.0,4e-05,2.22,0.000929,0.676,1.0,11.5,0
7.003,115,0.504,0.5195,8.57,,44.95,21.26,15.21,0.0341,0.0207,-0.0022,-0.0198,0.0028,0.0026,869.0,5.1e-05,2.2,0.002112,0.0,0.0,4.4e-05,2.2,0.000949,0.657,0.4,11.5,0
7.082,116,0.4899,0.5195,8.47,91.3,44.95,20.37,15.21,0.057,0.0207,-0.0039,-0.0174,0.0028,0.0027,867.0,5.1e-05,2.18,0.002159,0.0,0.0,4.8e-05,4.09,0.00097,0.667,0.9,16.0,0
7.159,117,0.5235,0.5195,8.38,90.08,44.95,19.59,15.21,0.0658,0.0208,-0.0045,-0.0191,0.0029,0.0026,863.0,5.8e-05,2.16,0.002208,0.0,0.0,5.3e-05,2.16,0.000992,0.649,0.3,18.9,0
7.2,118,0.5087,0.5195,8.33,83.97,44.95,20.87,15.21,0.0726,0.021,-0.006,-0.0185,0.0029,0.0026,861.0,5.9e-05,2.14,0.002256,0.0,0.0,5.6e-05,2.14,0.001015,0.632,0.0,21.1,0
7.241,119,0.4946,0.5195,8.29,85.5,44.95,22.17,15.21,0.0911,0.021,-0.0077,-0.0179,0.0029,0.0026,855.0,4.8e-05,2.12,0.002305,0.0,0.0,3.3e-05,2.12,0.001039,0.615,0.0,27.9,1
7.278,120,0.523,0.5195,8.24,72.4,44.95,20.05,15.21,0.0682,0.0211,-0.0052,-0.0194,0.003,0.0026,861.0,4.9e-05,2.11,0.002354,0.0,0.0,3.8e-05,2.11,0.001063,0.6,0.0,21.5,0
7.317,121,0.4955,0.5195,8.2,73.23,44.95,22.54,15.21,0.0682,0.0213,-0.0046,-0.017,0.003,0.0026,863.0,5.5e-05,2.09,0.002403,0.0,0.0,4.3e-05,2.09,0.001087,0.585,0.0,19.4,0
7.395,122,0.4775,0.5195,8.11,91.43,44.95,22.09,15.21,0.0697,0.0214,-0.005,-0.0182,0.003,0.0026,856.0,5.7e-05,2.07,0.002451,0.0,0.0,4.8e-05,2.07,0.001112,0.571,0.0,21.1,0
7.448,123,0.5005,0.5195,8.06,93.03,44.95,20.16,15.21,0.06,0.0214,-0.004,-0.0193,0.003,0.0026,861.0,5.9e-05,2.05,0.0025,0.0,0.0,5.2e-05,2.05,0.001137,0.558,0.0,18.7,0
