t,frame_idx,ear,ear_threshold,blink_rate,smile_mm,smile_amplitude_mm,brow_mm,brow_amplitude_mm,asymmetry,asymmetry_std,gaze_dx,gaze_dy,gaze_x_std,gaze_y_std,face_distance_mm,tremor_chin_power_4_6hz,tremor_chin_dominant_hz,tremor_chin_motion_power,tremor_chin_lock_in,tremor_chin_pd_likelihood,tremor_lip_power_4_6hz,tremor_lip_dominant_hz,tremor_lip_motion_power,tremor_lip_lock_in,tremor_lip_pd_likelihood,head_yaw_deg,off_axis
0.327,7,0.4413,0.22,,,0.0,18.0,0.0,0.1009,0.0,0.0055,-0.0186,0.0,0.0,847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.7,1
0.404,8,0.4645,0.22,,61.78,0.0,20.56,0.0,0.2132,0.0,0.0098,-0.0197,0.0,0.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,1
0.415,9,0.4529,0.22,,,0.0,21.57,0.0,0.2634,0.0,0.0158,-0.0192,0.0,0.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.7,1
0.44,10,0.4225,0.22,,,0.0,20.57,0.0,0.1208,0.0,0.0077,-0.0187,0.0,0.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.6,1
0.482,11,0.4245,0.22,,69.6,0.0,22.83,4.83,0.1379,0.0,0.0064,-0.0174,0.0,0.0,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.1,1
0.56,12,0.4373,0.22,,74.47,0.0,26.1,8.1,0.1313,0.0,0.0037,-0.0211,0.0,0.0,852.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.7,1
0.596,13,0.4313,0.22,,71.11,0.0,21.05,8.1,0.0826,0.0,0.0035,-0.0197,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.4,0
0.636,14,0.4343,0.22,,,0.0,22.33,8.1,0.143,0.0,0.0069,-0.0203,0.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.7,1
0.676,15,0.4562,0.22,,54.28,20.19,22.5,8.1,0.1958,0.0,0.0068,-0.0225,0.0,0.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.3,1
0.712,16,0.4096,0.22,,,20.19,23.99,8.1,0.1036,0.0,-0.0003,-0.0221,0.0,0.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.8,0
0.793,17,0.4182,0.22,,,20.19,22.71,8.1,0.0835,0.0,0.001,-0.0198,0.0,0.0,837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.5,0
0.829,18,0.4142,0.22,,,20.19,22.75,8.1,0.0542,0.0,-0.0005,-0.0215,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.1,0
0.869,19,0.4207,0.22,,,20.19,22.7,8.1,0.0441,0.0216,-0.0016,-0.0213,0.0018,0.0009,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,0
0.907,20,0.4417,0.22,,,20.19,22.48,8.1,0.0425,0.0229,0.001,-0.0213,0.0016,0.0009,840.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.4,0
0.95,21,0.4474,0.22,,,20.19,20.0,8.1,0.0185,0.0274,-0.0031,-0.0224,0.002,0.001,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0
